# BugSigDB 2021-08-22, License: Creative Commons Attribution 4.0 International, URL: https://bugsigdb.org
Study	Study design	PMID	DOI	URL	Authors	Title	Journal	Year	Experiment	Location of subjects	Host species	Body site	Condition	Group 0 name	Group 1 name	Group 1 definition	Group 0 sample size	Group 1 sample size	Antibiotics exclusion	Sequencing type	16s variable region	Sequencing platform	Statistical test	Significance threshold	MHT correction	LDA Score above	Matched on	Confounders controlled for	Pielou	Shannon	Chao1	Simpson	Inverse Simpson	Richness	Signature page name	Source	Curated date	Curator	Revision editor	Description	Abundance in Group 1	MetaPhlAn taxon names	NCBI Taxonomy IDs
Study 51	case-control	30548192	10.1111/1462-2920.14498	NA	Jin Y,Liu Y,Zhao L,Zhao F,Feng J,Li S,Chen H,Sun J,Zhu B,Geng R,Wei Y	Gut microbiota in patients after surgical treatment for colorectal cancer	Environmental microbiology	2019	Experiment 2	China	Homo sapiens	feces	colorectal cancer	CIT(cleain intestine)	NDA(new dev. adenoma)	The adenoma and carcinoma patients were diagnosed by colonoscopic examination and histopathological review of biopsies. Postoperative patients were classified as having NDA or CIT by follow-up surveillance colonoscopy and biopsies	26	21	3 months	16S	NA	Illumina	Mann-Whitney (Wilcoxon)	0.05	TRUE	2.5	age,body mass index	NA	NA	NA	NA	NA	NA	decreased	Signature 2	Figure 4 and Table B	8 January 2019	Rimsha Azhar	WikiWorks743	LEfSe identified differene in abundace between NDA and CIT	decreased		
Study 52	case-control	28620208	10.1038/s41598-017-03706-9	NA	Xu Y,Xie Z,Wang H,Shen Z,Guo Y,Gao Y,Chen X,Wu Q,Li X,Wang K	Bacterial Diversity of Intestinal Microbiota in Patients with Substance Use Disorders Revealed by 16S rRNA Gene Deep Sequencing	Scientific reports	2017	Experiment 1	China	Homo sapiens	feces	NA	Healthy controls	Substance use disorder patients	NA	45	48	3 months	16S	NA	Illumina	LEfSe	0.05	TRUE	2	NA	NA	NA	NA	unchanged	NA	NA	increased	Signature 1	Figure 4	9 January 2019	Fatima Zohra	WikiWorks743	Differential abundance in community compositions between SUD and healthy controls	increased		
Study 52	case-control	28620208	10.1038/s41598-017-03706-9	NA	Xu Y,Xie Z,Wang H,Shen Z,Guo Y,Gao Y,Chen X,Wu Q,Li X,Wang K	Bacterial Diversity of Intestinal Microbiota in Patients with Substance Use Disorders Revealed by 16S rRNA Gene Deep Sequencing	Scientific reports	2017	Experiment 1	China	Homo sapiens	feces	NA	Healthy controls	Substance use disorder patients	NA	45	48	3 months	16S	NA	Illumina	LEfSe	0.05	TRUE	2	NA	NA	NA	NA	unchanged	NA	NA	increased	Signature 2	Figure 4	9 January 2019	Fatima Zohra	WikiWorks743	Differential abundance in community compositions between SUD and healthy controls	decreased		
Study 52	case-control	28620208	10.1038/s41598-017-03706-9	NA	Xu Y,Xie Z,Wang H,Shen Z,Guo Y,Gao Y,Chen X,Wu Q,Li X,Wang K	Bacterial Diversity of Intestinal Microbiota in Patients with Substance Use Disorders Revealed by 16S rRNA Gene Deep Sequencing	Scientific reports	2017	Experiment 2	China	Homo sapiens	feces	NA	adjusted Healthy controls	Substance use disorder patients	NA	28	29	3 months	16S	NA	Illumina	Mann-Whitney (Wilcoxon)	0.05	FALSE	NA	age	NA	NA	NA	unchanged	NA	NA	NA	Signature 1	Figure 5B	9 January 2019	Fatima Zohra	WikiWorks743	Significantly different microbial composition between SUD and age matched healthy controls	increased		
Study 52	case-control	28620208	10.1038/s41598-017-03706-9	NA	Xu Y,Xie Z,Wang H,Shen Z,Guo Y,Gao Y,Chen X,Wu Q,Li X,Wang K	Bacterial Diversity of Intestinal Microbiota in Patients with Substance Use Disorders Revealed by 16S rRNA Gene Deep Sequencing	Scientific reports	2017	Experiment 2	China	Homo sapiens	feces	NA	adjusted Healthy controls	Substance use disorder patients	NA	28	29	3 months	16S	NA	Illumina	Mann-Whitney (Wilcoxon)	0.05	FALSE	NA	age	NA	NA	NA	unchanged	NA	NA	NA	Signature 2	Figure 5B	9 January 2019	Fatima Zohra	WikiWorks743	Significantly different microbial composition between SUD and age matched healthy controls	decreased		
Study 53	case-control	26683192	10.1371/journal.pone.0145453	NA	Shukla SK,Cook D,Meyer J,Vernon SD,Le T,Clevidence D,Robertson CE,Schrodi SJ,Yale S,Frank DN	Changes in Gut and Plasma Microbiome following Exercise Challenge in Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS)	PloS one	2015	Experiment 1	United States of America	Homo sapiens	feces	chronic fatigue syndrome	healthy controls	chronic fatigue syndrome patients	patients met the ME/CFS case definition criteria established by Fukuda et al in 1994	10	10	current use	16S	NA	Roche454	Kolmogorov-Smirnov Test	0.05	FALSE	NA	age,body mass index	NA	NA	NA	NA	NA	NA	NA	Signature 1	Table 4	10 January 2019	Shaimaa Elsafoury	WikiWorks743	Relative Abundance of Bacterial Phyla in Blood and Stool Samples from ME/CFS Patients and Health Controls.	decreased		
Study 54	time series / longitudinal observational	27001291	10.1038/srep23129	NA	Collado MC,Rautava S,Aakko J,Isolauri E,Salminen S	Human gut colonisation may be initiated in utero by distinct microbial communities in the placenta and amniotic fluid	Scientific reports	2016	Experiment 1	Finland	Homo sapiens	meconium	cesarean section	placenta	meconium	NA	15	15	prior to or during c-section	16S	NA	Roche454	LEfSe	0.05	TRUE	3	NA	NA	NA	increased	decreased	NA	NA	unchanged	Signature 1	Figure 4B	16 January 2019	Rimsha Azhar	WikiWorks743	Differentially abundant bacteria in placenta and meconium samples from LEfSe analysis	increased		
Study 54	time series / longitudinal observational	27001291	10.1038/srep23129	NA	Collado MC,Rautava S,Aakko J,Isolauri E,Salminen S	Human gut colonisation may be initiated in utero by distinct microbial communities in the placenta and amniotic fluid	Scientific reports	2016	Experiment 1	Finland	Homo sapiens	meconium	cesarean section	placenta	meconium	NA	15	15	prior to or during c-section	16S	NA	Roche454	LEfSe	0.05	TRUE	3	NA	NA	NA	increased	decreased	NA	NA	unchanged	Signature 2	Figure 4B	16 January 2019	Rimsha Azhar	WikiWorks743	Differentially abundant bacteria in placenta and meconium samples from LEfSe analysis	decreased		
Study 54	time series / longitudinal observational	27001291	10.1038/srep23129	NA	Collado MC,Rautava S,Aakko J,Isolauri E,Salminen S	Human gut colonisation may be initiated in utero by distinct microbial communities in the placenta and amniotic fluid	Scientific reports	2016	Experiment 2	Finland	Homo sapiens	meconium	cesarean section	placenta	colostrum	NA	15	15	prior to or during c-section	16S	NA	Roche454	LEfSe	0.05	TRUE	3	NA	NA	NA	increased	unchanged	NA	NA	unchanged	Signature 1	Figure 4D	16 January 2019	Rimsha Azhar	WikiWorks743	Differentially abundant bacteria in placenta and colostrum samples from LEfSe analysis	increased		
Study 54	time series / longitudinal observational	27001291	10.1038/srep23129	NA	Collado MC,Rautava S,Aakko J,Isolauri E,Salminen S	Human gut colonisation may be initiated in utero by distinct microbial communities in the placenta and amniotic fluid	Scientific reports	2016	Experiment 2	Finland	Homo sapiens	meconium	cesarean section	placenta	colostrum	NA	15	15	prior to or during c-section	16S	NA	Roche454	LEfSe	0.05	TRUE	3	NA	NA	NA	increased	unchanged	NA	NA	unchanged	Signature 2	Figure 4D	16 January 2019	Rimsha Azhar	WikiWorks743	Differentially abundant bacteria in placenta and colostrum samples from LEfSe analysis	decreased		
Study 55	laboratory experiment	23056268	10.1371/journal.pone.0046231	NA	Bangsgaard Bendtsen KM,Krych L,Sørensen DB,Pang W,Nielsen DS,Josefsen K,Hansen LH,Sørensen SJ,Hansen AK	Gut microbiota composition is correlated to grid floor induced stress and behavior in the BALB/c mouse	PloS one	2012	Experiment 1	Denmark	Mus musculus	caecum	stimulus or stress design	control	grid floor induced stress	cases were exposed to a stress factor which is a grid floor exposure for two weeks. this implies that the use of grid floor is a sufficient stressor for inducing a depression-like behavioral state in the TST.	14	14	NA	16S	NA	Roche454	Mann-Whitney (Wilcoxon)	0.05	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 1	Table 2	23 January 2019	Fatima Zohra	WikiWorks743	Significantly different taxa between control mice and grid floor housed mice	increased		
Study 56	cross-sectional observational, not case-control	24223144	10.1371/journal.pone.0078257	NA	Hu J,Nomura Y,Bashir A,Fernandez-Hernandez H,Itzkowitz S,Pei Z,Stone J,Loudon H,Peter I	Diversified microbiota of meconium is affected by maternal diabetes status	PloS one	2013	Experiment 1	United States of America	Homo sapiens	meconium	type II diabetes mellitus	adult stool	Healthy baby meconium	NA	9	13	9 months	16S	NA	PacBio RS	Mann-Whitney (Wilcoxon)	0.05	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 1	Text + Figure 2	23 January 2019	Rimsha Azhar	WikiWorks743	Bacterial Composition of the Meconium and Comparison to the healthy Adult and healthy Infant Microbiome	increased		
Study 56	cross-sectional observational, not case-control	24223144	10.1371/journal.pone.0078257	NA	Hu J,Nomura Y,Bashir A,Fernandez-Hernandez H,Itzkowitz S,Pei Z,Stone J,Loudon H,Peter I	Diversified microbiota of meconium is affected by maternal diabetes status	PloS one	2013	Experiment 1	United States of America	Homo sapiens	meconium	type II diabetes mellitus	adult stool	Healthy baby meconium	NA	9	13	9 months	16S	NA	PacBio RS	Mann-Whitney (Wilcoxon)	0.05	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 2	Text + Figure 2	23 January 2019	Rimsha Azhar	WikiWorks743	Bacterial Composition of the Meconium and Comparison to the healthy Adult and healthy Infant Microbiome	decreased		
Study 56	cross-sectional observational, not case-control	24223144	10.1371/journal.pone.0078257	NA	Hu J,Nomura Y,Bashir A,Fernandez-Hernandez H,Itzkowitz S,Pei Z,Stone J,Loudon H,Peter I	Diversified microbiota of meconium is affected by maternal diabetes status	PloS one	2013	Experiment 2	United States of America	Homo sapiens	meconium	gestational diabetes	Healthy baby meconium	Baby meconium with GDM mothers	NA	13	5	9 months	16S	NA	PacBio RS	Mann-Whitney (Wilcoxon)	0.05	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 1	Text + Figure 4	28 March 2019	Rimsha Azhar	WikiWorks743	Significant difference between neonates from mothers with different diabetes states	decreased		
Study 56	cross-sectional observational, not case-control	24223144	10.1371/journal.pone.0078257	NA	Hu J,Nomura Y,Bashir A,Fernandez-Hernandez H,Itzkowitz S,Pei Z,Stone J,Loudon H,Peter I	Diversified microbiota of meconium is affected by maternal diabetes status	PloS one	2013	Experiment 3	United States of America	Homo sapiens	meconium	type II diabetes mellitus	Healthy baby meconium	Baby meconium with DM mothers	NA	13	5	9 months	16S	NA	PacBio RS	Mann-Whitney (Wilcoxon)	0.05	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 1	Text + Figure 4	28 March 2019	Rimsha Azhar	Lwaldron,WikiWorks743	Significant difference between neonates from mothers with different diabetes states	increased		
Study 57	case-control	26963804	10.1080/19490976.2016.1162363	NA	Fourie NH,Wang D,Abey SK,Sherwin LB,Joseph PV,Rahim-Williams B,Ferguson EG,Henderson WA	The microbiome of the oral mucosa in irritable bowel syndrome	Gut microbes	2016	Experiment 1	United States of America	Homo sapiens	buccal mucosa	inflammatory bowel disease	control	irritable bowel syndrome	IBS are who suffered from chronic visceral pain and altered bowel habits for more than 6 months for which no organic cause had been identified	20	9	NA	16S	NA	PhyloChip	Welch's T-Test	0.05	FALSE	NA	age,body weight	NA	NA	NA	NA	NA	NA	NA	Signature 1	Figure 6	6 June 2019	Rimsha Azhar	WikiWorks743	OTUs showed significant differential abundance between healthy controls and IBS participants	increased		
Study 57	case-control	26963804	10.1080/19490976.2016.1162363	NA	Fourie NH,Wang D,Abey SK,Sherwin LB,Joseph PV,Rahim-Williams B,Ferguson EG,Henderson WA	The microbiome of the oral mucosa in irritable bowel syndrome	Gut microbes	2016	Experiment 1	United States of America	Homo sapiens	buccal mucosa	inflammatory bowel disease	control	irritable bowel syndrome	IBS are who suffered from chronic visceral pain and altered bowel habits for more than 6 months for which no organic cause had been identified	20	9	NA	16S	NA	PhyloChip	Welch's T-Test	0.05	FALSE	NA	age,body weight	NA	NA	NA	NA	NA	NA	NA	Signature 2	Figure 6	6 June 2019	Rimsha Azhar	WikiWorks743	OTUs showed significant differential abundance between healthy controls and IBS participants	decreased		
Study 57	case-control	26963804	10.1080/19490976.2016.1162363	NA	Fourie NH,Wang D,Abey SK,Sherwin LB,Joseph PV,Rahim-Williams B,Ferguson EG,Henderson WA	The microbiome of the oral mucosa in irritable bowel syndrome	Gut microbes	2016	Experiment 2	United States of America	Homo sapiens	buccal mucosa	inflammatory bowel disease	control	overweight irritabe bowel syndrome	IBS are who suffered from chronic visceral pain and altered bowel habits for more than 6 months for which no organic cause had been identified	20	11	NA	16S	NA	PhyloChip	Welch's T-Test	0.05	FALSE	NA	age,body weight	NA	NA	NA	NA	NA	NA	NA	Signature 1	Figure 6	6 June 2019	Rimsha Azhar	WikiWorks743	OTUs showed significant differential abundance between healthy controls and IBS participants	increased		
Study 57	case-control	26963804	10.1080/19490976.2016.1162363	NA	Fourie NH,Wang D,Abey SK,Sherwin LB,Joseph PV,Rahim-Williams B,Ferguson EG,Henderson WA	The microbiome of the oral mucosa in irritable bowel syndrome	Gut microbes	2016	Experiment 2	United States of America	Homo sapiens	buccal mucosa	inflammatory bowel disease	control	overweight irritabe bowel syndrome	IBS are who suffered from chronic visceral pain and altered bowel habits for more than 6 months for which no organic cause had been identified	20	11	NA	16S	NA	PhyloChip	Welch's T-Test	0.05	FALSE	NA	age,body weight	NA	NA	NA	NA	NA	NA	NA	Signature 2	Figure 6	6 June 2019	Rimsha Azhar	WikiWorks743	OTUs showed significant differential abundance between healthy controls and IBS participants	decreased		
Study 58	prospective cohort	27503374	10.1186/s13073-016-0330-z	NA	Chu DM,Antony KM,Ma J,Prince AL,Showalter L,Moller M,Aagaard KM	The early infant gut microbiome varies in association with a maternal high-fat diet	Genome medicine	2016	Experiment 1	United States of America	Homo sapiens	meconium	high fat diet	nebowrns of maternal control	newborns of maternal high-fat diet	To determine maternal dietary intake during pregnancy, each mother was asked by trained personnel at each sample collection time point to answer the Dietary Screener Questionnaire (DSQ), which was developed and validated by the National Health and Examination Survey (NHANES) program (2009–2010)	13	13	NA	16S	NA	Roche454	LEfSe	0.05	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 1	Figure 4	29 January 2019	Rimsha Azhar	WikiWorks743	Neonaatal meconium identified by  LEfSe betwen maternal high-fat or maternal control diet during pregnancy	increased		
Study 58	prospective cohort	27503374	10.1186/s13073-016-0330-z	NA	Chu DM,Antony KM,Ma J,Prince AL,Showalter L,Moller M,Aagaard KM	The early infant gut microbiome varies in association with a maternal high-fat diet	Genome medicine	2016	Experiment 1	United States of America	Homo sapiens	meconium	high fat diet	nebowrns of maternal control	newborns of maternal high-fat diet	To determine maternal dietary intake during pregnancy, each mother was asked by trained personnel at each sample collection time point to answer the Dietary Screener Questionnaire (DSQ), which was developed and validated by the National Health and Examination Survey (NHANES) program (2009–2010)	13	13	NA	16S	NA	Roche454	LEfSe	0.05	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 2	Figure 4	29 January 2019	Rimsha Azhar	WikiWorks743	Neonaatal meconium identified by  LEfSe betwen maternal high-fat or maternal control diet during pregnancy	decreased		
Study 58	prospective cohort	27503374	10.1186/s13073-016-0330-z	NA	Chu DM,Antony KM,Ma J,Prince AL,Showalter L,Moller M,Aagaard KM	The early infant gut microbiome varies in association with a maternal high-fat diet	Genome medicine	2016	Experiment 2	United States of America	Homo sapiens	feces	high fat diet	6 months babies control	6 months babies of maternal high-fat diet	To determine maternal dietary intake during pregnancy, each mother was asked by trained personnel at each sample collection time point to answer the Dietary Screener Questionnaire (DSQ), which was developed and validated by the National Health and Examination Survey (NHANES) program (2009–2010)	75	75	NA	16S	NA	Roche454	LEfSe	0.05	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 1	Figure 5 + Supplemental Figure 3	29 January 2019	Rimsha Azhar	WikiWorks743	The impact of maternal gestational diet persists to 6 weeks of age	increased		
Study 58	prospective cohort	27503374	10.1186/s13073-016-0330-z	NA	Chu DM,Antony KM,Ma J,Prince AL,Showalter L,Moller M,Aagaard KM	The early infant gut microbiome varies in association with a maternal high-fat diet	Genome medicine	2016	Experiment 2	United States of America	Homo sapiens	feces	high fat diet	6 months babies control	6 months babies of maternal high-fat diet	To determine maternal dietary intake during pregnancy, each mother was asked by trained personnel at each sample collection time point to answer the Dietary Screener Questionnaire (DSQ), which was developed and validated by the National Health and Examination Survey (NHANES) program (2009–2010)	75	75	NA	16S	NA	Roche454	LEfSe	0.05	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 2	Figure 5 + Supplemental Figure 3	29 January 2019	Rimsha Azhar	WikiWorks743	The impact of maternal gestational diet persists to 6 weeks of age	decreased		
Study 59	time series / longitudinal observational	30656437	10.1186/s11671-018-2834-5	NA	Mao Z,Li Y,Dong T,Zhang L,Zhang Y,Li S,Hu H,Sun C,Xia Y	Exposure to Titanium Dioxide Nanoparticles During Pregnancy Changed Maternal Gut Microbiota and Increased Blood Glucose of Rat	Nanoscale research letters	2019	Experiment 1	China	Rattus norvegicus	feces	NA	control pregnant rats at gestational day 10	pregnant rats exposed to titanium dioxide nanoparticles	The female rats were daily gavage administrated with 5 mg/kg bw/day of TiO2 NPs from the 5th to 18th day after pregnancy.	4	4	NA	16S	NA	Illumina	LEfSe	0.05	FALSE	2	NA	NA	NA	unchanged	unchanged	unchanged	NA	NA	Signature 1	Figure 4	30 January 2019	Yaseen Javaid	WikiWorks743	Exposure to Titanium Dioxide Nanoparticles During Pregnancy Changed Maternal Gut Microbiota of preganat rats	increased		
Study 59	time series / longitudinal observational	30656437	10.1186/s11671-018-2834-5	NA	Mao Z,Li Y,Dong T,Zhang L,Zhang Y,Li S,Hu H,Sun C,Xia Y	Exposure to Titanium Dioxide Nanoparticles During Pregnancy Changed Maternal Gut Microbiota and Increased Blood Glucose of Rat	Nanoscale research letters	2019	Experiment 1	China	Rattus norvegicus	feces	NA	control pregnant rats at gestational day 10	pregnant rats exposed to titanium dioxide nanoparticles	The female rats were daily gavage administrated with 5 mg/kg bw/day of TiO2 NPs from the 5th to 18th day after pregnancy.	4	4	NA	16S	NA	Illumina	LEfSe	0.05	FALSE	2	NA	NA	NA	unchanged	unchanged	unchanged	NA	NA	Signature 2	Figure 4	30 January 2019	Yaseen Javaid	Fatima,WikiWorks743	Exposure to Titanium Dioxide Nanoparticles During Pregnancy Changed Maternal Gut Microbiota of preganat rats	decreased		
Study 60	case-control	30714640	10.1002/jcla.22842	NA	Qiu J,Zhou H,Jing Y,Dong C	Association between blood microbiome and type 2 diabetes mellitus: A nested case-control study	Journal of clinical laboratory analysis	2019	Experiment 1	China	Homo sapiens	blood	type II diabetes mellitus	controls	Type-2 DM cases	NA	100	50	2 months	16S	NA	Illumina	T-Test	0.05	FALSE	NA	age	blood pressure,body mass index,smoking behavior,total cholesterol measurement,triglyceride	NA	unchanged	unchanged	unchanged	NA	NA	Signature 1	Table 5	6 February 2019	Yaseen Javaid	WikiWorks743	Association between blood microbiome and type 2 diabetes mellitus: A nested case-control study. (all the bacteria either have zero mean or not detectable in both groups except Aquabacterium)	increased		
Study 60	case-control	30714640	10.1002/jcla.22842	NA	Qiu J,Zhou H,Jing Y,Dong C	Association between blood microbiome and type 2 diabetes mellitus: A nested case-control study	Journal of clinical laboratory analysis	2019	Experiment 1	China	Homo sapiens	blood	type II diabetes mellitus	controls	Type-2 DM cases	NA	100	50	2 months	16S	NA	Illumina	T-Test	0.05	FALSE	NA	age	blood pressure,body mass index,smoking behavior,total cholesterol measurement,triglyceride	NA	unchanged	unchanged	unchanged	NA	NA	Signature 2	Table 5	6 February 2019	Yaseen Javaid	WikiWorks743	Association between blood microbiome and type 2 diabetes mellitus: A nested case-control study. (all the bacteria either have zero mean or not detectable in both groups except Aquabacterium)	decreased		
Study 60	case-control	30714640	10.1002/jcla.22842	NA	Qiu J,Zhou H,Jing Y,Dong C	Association between blood microbiome and type 2 diabetes mellitus: A nested case-control study	Journal of clinical laboratory analysis	2019	Experiment 2	China	Homo sapiens	blood	type II diabetes mellitus	carier of pathogens controls	Type-2 DM cariers of pathogens	The non-carrier meant that the individual did not have sequence read for the specific pathogen.	NA	NA	2 months	16S	NA	Illumina	T-Test	0.05	FALSE	NA	age	blood pressure,body mass index,smoking behavior,total cholesterol measurement,triglyceride	NA	NA	NA	NA	NA	NA	Signature 1	Table 6	4 November 2019	Shaimaa Elsafoury	WikiWorks743	Associations between blood microbiome and the subsequent risk of Type-2 diabetes mellitus	increased		
Study 60	case-control	30714640	10.1002/jcla.22842	NA	Qiu J,Zhou H,Jing Y,Dong C	Association between blood microbiome and type 2 diabetes mellitus: A nested case-control study	Journal of clinical laboratory analysis	2019	Experiment 2	China	Homo sapiens	blood	type II diabetes mellitus	carier of pathogens controls	Type-2 DM cariers of pathogens	The non-carrier meant that the individual did not have sequence read for the specific pathogen.	NA	NA	2 months	16S	NA	Illumina	T-Test	0.05	FALSE	NA	age	blood pressure,body mass index,smoking behavior,total cholesterol measurement,triglyceride	NA	NA	NA	NA	NA	NA	Signature 2	Table 6	4 November 2019	Shaimaa Elsafoury	WikiWorks743	Associations between blood microbiome and the subsequent risk of Type-2 diabetes mellitus	decreased		
Study 61	time series / longitudinal observational	20844065	10.3945/ajcn.2010.29877	NA	Collado MC,Isolauri E,Laitinen K,Salminen S	Effect of mother's weight on infant's microbiota acquisition, composition, and activity during early infancy: a prospective follow-up study initiated in early pregnancy	The American journal of clinical nutrition	2010	Experiment 1	Finland	Homo sapiens	feces	obesity	infants of normal weight mother at age 1 month	infants of overweight mothers	mothers whose prepregnancy body mass index (BMI; in kg/m2) was >25	26	16	NA	16S	NA	RT-qPCR	Mann-Whitney (Wilcoxon)	0.05	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 1	Table 2 & Tale 4	13 February 2019	Rimsha Azhar	WikiWorks743	Mirobial groups in feacal samples at 1 and 6 months of age according to maternal weight gain during pregnancy and BMI	decreased		
Study 61	time series / longitudinal observational	20844065	10.3945/ajcn.2010.29877	NA	Collado MC,Isolauri E,Laitinen K,Salminen S	Effect of mother's weight on infant's microbiota acquisition, composition, and activity during early infancy: a prospective follow-up study initiated in early pregnancy	The American journal of clinical nutrition	2010	Experiment 2	Finland	Homo sapiens	feces	obesity	infants of normal weight mother at age 6 month	infants of overweight mothers	mothers whose prepregnancy body mass index (BMI; in kg/m2) was >25	26	16	NA	16S	NA	RT-qPCR	Mann-Whitney (Wilcoxon)	0.05	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 1	Table 2 & Tale 4	5 November 2019	Shaimaa Elsafoury	WikiWorks743	Mirobial groups in feacal samples at 1 and 6 months of age according to maternal weight gain during pregnancy and BMI	increased		
Study 61	time series / longitudinal observational	20844065	10.3945/ajcn.2010.29877	NA	Collado MC,Isolauri E,Laitinen K,Salminen S	Effect of mother's weight on infant's microbiota acquisition, composition, and activity during early infancy: a prospective follow-up study initiated in early pregnancy	The American journal of clinical nutrition	2010	Experiment 3	Finland	Homo sapiens	feces	obesity	infants of normal maternal weight gain mothers at age 1 month	infants of excessive maternal weight gain mothers	Weight gain >16.0 kg in women with BMI (in kg/m2) <25 and >11.5 kg in women with BMI >25 was considered excessive	20	22	NA	16S	NA	RT-qPCR	Mann-Whitney (Wilcoxon)	0.05	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 1	Table 3	5 November 2019	Shaimaa Elsafoury	WikiWorks743	Bacterial counts in infant fecal samples at 1 and 6 months of age according to maternal weight gain during pregnancy	decreased		
Study 61	time series / longitudinal observational	20844065	10.3945/ajcn.2010.29877	NA	Collado MC,Isolauri E,Laitinen K,Salminen S	Effect of mother's weight on infant's microbiota acquisition, composition, and activity during early infancy: a prospective follow-up study initiated in early pregnancy	The American journal of clinical nutrition	2010	Experiment 4	Finland	Homo sapiens	feces	obesity	infants of normal maternal weight gain mothers at age 6 months	infants of excessive maternal weight gain mothers	Weight gain >16.0 kg in women with BMI (in kg/m2) <25 and >11.5 kg in women with BMI >25 was considered excessive	20	22	NA	16S	NA	RT-qPCR	Mann-Whitney (Wilcoxon)	0.05	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 1	Table 3	5 November 2019	Shaimaa Elsafoury	WikiWorks743	Bacterial counts in infant fecal samples at 1 and 6 months of age according to maternal weight gain during pregnancy	increased		
Study 62	case-control	28018325	10.3389/fmicb.2016.01997	NA	Nagpal R,Tsuji H,Takahashi T,Kawashima K,Nagata S,Nomoto K,Yamashiro Y	Sensitive Quantitative Analysis of the Meconium Bacterial Microbiota in Healthy Term Infants Born Vaginally or by Cesarean Section	Frontiers in microbiology	2016	Experiment 1	Japan	Homo sapiens	meconium	cesarean section	vaginal delivery in mecomium	C-section delivery	NA	134	17	No information about pre-delivey duration. 3 Vaginally-delivered infants have been exposed to antibiotics (birth to sampling)	16S	NA	RT-qPCR	Fisher's Exact Test	0.05	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 1	Table 2 & Figure 2	5 April 2019	Shaimaa Elsafoury	WikiWorks743	Count and detection rate of bacterial groups in meconium of vaginally and ceasarean born babies	decreased		
Study 63	time series / longitudinal observational	28018325	10.3389/fmicb.2016.01997	NA	Nagpal R,Tsuji H,Takahashi T,Kawashima K,Nagata S,Nomoto K,Yamashiro Y	Sensitive Quantitative Analysis of the Meconium Bacterial Microbiota in Healthy Term Infants Born Vaginally or by Cesarean Section	Frontiers in microbiology	2016	Experiment 1	Japan	Homo sapiens	feces	cesarean section	vaginal delivery after 7 days of delivery	C-section delivery	NA	134	17	No information about pre-delivey duration. 3 Vaginally-delivered infants have been exposed to antibiotics (birth to sampling)	16S	NA	RT-qPCR	Fisher's Exact Test	0.05	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 1	Figure 2	4 November 2019	Shaimaa Elsafoury	WikiWorks743	Differences in the detection rate of Lactobacillus genus, subgroups and species between vaginally- and cesarean-born babies at different time-points during the first 3 years of life.	decreased		
Study 63	time series / longitudinal observational	28018325	10.3389/fmicb.2016.01997	NA	Nagpal R,Tsuji H,Takahashi T,Kawashima K,Nagata S,Nomoto K,Yamashiro Y	Sensitive Quantitative Analysis of the Meconium Bacterial Microbiota in Healthy Term Infants Born Vaginally or by Cesarean Section	Frontiers in microbiology	2016	Experiment 2	Japan	Homo sapiens	feces	cesarean section	vaginal delivery after 3 months of delivery	C-section delivery	NA	134	17	No information about pre-delivey duration. 3 Vaginally-delivered infants have been exposed to antibiotics (birth to sampling)	16S	NA	RT-qPCR	Fisher's Exact Test	0.05	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 1	Figure 2	5 April 2019	Shaimaa Elsafoury	WikiWorks743	Differences in the detection rate of Lactobacillus genus, subgroups and species between vaginally- and cesarean-born babies at different time-points during the first 3 years of life.	decreased		
